bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2022-03-13 14:25:02.534882,2022-03-11,000215,1,1,0,DL우,62301949250,1686115,5000,1686115,121569,7.21,63200,32950,1.17,31469,N/A,N/A,0.21,177645,5.28,9.07,36950,36950,37000,37000,36550,475,17,+76,-50,-26,신한금융투자,138,키움증권,115,KB증권,60,대신,52,미래에셋증권,31,삼성,154,키움증권,82,대신,81,골드만,50,NH투자증권,37,,,,,,0,0,0,0,0
2022-03-13 14:25:02.828258,2022-03-11,001880,1,1,0,DL건설,660495855800,22053284,5000,22053284,471039,2.14,38500,24350,4.84,6191,5.00,6543,0.77,39144,2.50,8.31,29950,29950,29350,30200,29100,59174,1767,+3327,+9478,-12805,키움증권,14041,한국증권,5938,미래에셋증권,4693,삼성,4263,신한금융투자,4244,키움증권,9436,미래에셋증권,6456,NH투자증권,6190,한국증권,5114,이베스트,5037,,,,,,0,0,0,0,0
2022-03-13 14:25:03.099496,2022-03-11,000210,1,1,0,DL,1240588332800,20955884,5000,20955884,2584689,12.33,107000,53900,1.88,31469,N/A,N/A,0.33,177645,3.21,9.07,59200,59200,58400,59300,58400,31642,1858,+7027,-4963,-2064,신한금융투자,4711,한국증권,2627,키움증권,2058,골드만,2040,미래에셋증권,1936,키움증권,4491,한화,3326,DB금융투자,3048,제이피모간,3026,신한금융투자,2298,,,,,,0,0,0,0,0
2022-03-13 14:25:03.397579,2022-03-11,37550K,1,1,0,DL이앤씨우,148183338500,2113885,5000,2113885,123380,5.84,83800,60300,N/A,N/A,2.00,28967,0.37,188139,3.92,8.60,70100,70100,70200,70600,69500,4282,300,+275,-451,176,키움증권,1180,삼성,492,NH투자증권,422,미래에셋증권,376,이베스트,314,키움증권,1478,미래에셋증권,956,메리츠,432,NH투자증권,335,신한금융투자,313,,,,,,0,0,0,0,0
2022-03-13 14:25:03.694299,2022-03-11,375500,1,1,0,DL이앤씨,2594070892000,19358738,5000,19358738,4274891,22.08,159000,106000,N/A,N/A,5.00,28967,0.71,188139,2.02,8.60,134000,134000,133000,135000,130500,266912,35366,+54844,-40095,-14749,한화,36419,신한금융투자,28442,삼성,23806,미래에셋증권,23298,CS증권,23205,한화,30049,NH투자증권,27850,미래에셋증권,24156,키움증권,24023,한국증권,21331,,,,,,0,0,0,0,0
2022-03-13 14:25:03.979493,2022-03-11,155660,1,1,0,DSR,90880000000,16000000,500,16000000,647975,4.05,13200,4865,7.18,791,N/A,N/A,0.52,11001,0.88,10.96,5680,5680,5570,5710,5540,51792,292,+12469,-19,-12450,키움증권,15336,제이피모간,6407,삼성,4406,신한금융투자,4196,KB증권,4118,유안타증권,8765,미래에셋증권,7258,키움증권,6745,대신,4592,유진증권,4029,,,,,,0,0,0,0,0
2022-03-13 14:25:04.254959,2022-03-11,069730,1,1,0,DSR제강,68256000000,14400000,500,14400000,928750,6.45,11900,4015,17.36,273,N/A,N/A,0.45,10472,0.84,5.18,4740,4740,4660,4745,4645,63823,299,-2236,-20,2256,KB증권,15979,키움증권,12911,NH투자증권,6531,미래에셋증권,4959,유진증권,4170,미래에셋증권,25529,키움증권,7402,삼성,5804,신한금융투자,4412,KB증권,4109,,,,,,0,0,0,0,0
2022-03-13 14:25:04.506112,2022-03-11,017940,1,1,0,E1,314531000000,6860000,5000,6860000,220022,3.21,67700,39750,2.05,22354,N/A,N/A,0.20,228283,4.80,8.81,45850,45850,46750,46750,45500,12482,572,+714,-27,-687,삼성,2365,신한금융투자,1998,미래에셋증권,1178,KB증권,1001,키움증권,889,삼성,4482,키움증권,2280,메리츠,1063,미래에셋증권,1030,CLSA,822,,,,,,0,0,0,0,0
2022-03-13 14:25:04.727202,2022-03-11,365550,1,1,0,ESR켄달스퀘어리츠,46167800000,6860000,5000,9453,5590,3.21,67700,39750,2.05,22354,N/A,N/A,0.20,228283,4.80,8.81,6730,6730,6670,6740,6620,848837,5696,+162775,-54214,-108561,모건스탠리,283296,제이피모간,167632,골드만,83609,신한금융투자,79296,키움증권,58012,미래에셋증권,160707,CLSA,133105,이베스트,121862,신한금융투자,74660,KB증권,65346,,,,,,0,0,0,0,0
2022-03-13 14:25:05.047421,2022-03-11,383220,1,1,0,F&F,6121470585000,7661415,500,7661415,1112654,14.52,998000,360000,N/A,N/A,15.00,51815,14.45,55294,0.69,21.23,799000,799000,818000,823000,797000,20766,16735,-3933,-2683,6616,삼성,3904,미래에셋증권,2778,하나금융투자,2057,KB증권,1937,NH투자증권,1881,CS증권,2496,삼성,2053,메리츠,1901,미래에셋증권,1887,하나금융투자,1588,,,,,,0,0,0,0,0
2022-03-13 14:25:05.281144,2022-03-11,007700,1,1,0,F&F홀딩스,1050220753950,39114367,500,39114367,298663,0.76,90250,23850,0.22,121227,N/A,N/A,0.55,48401,0.63,5.17,26850,26850,26700,27400,26700,13268,358,-1137,+32,1105,키움증권,4277,미래에셋증권,2689,NH투자증권,1375,한국증권,1084,신한금융투자,1039,키움증권,2867,모건스탠리,1364,미래에셋증권,1342,삼성,1317,한국증권,1315,,,,,,0,0,0,0,0
